file_id,path,commits,coupled_count,top_coupling,top_coupled_file
130,"pyproject.toml",71,6,0.7703,"frontend/package.json"
134,"frontend/package-lock.json",61,5,0.9365,"frontend/package.json"
135,"frontend/package.json",61,5,0.9365,"frontend/package-lock.json"
132,"containers/dev/compose.yml",50,5,0.8431,"docker-compose.yml"
133,"docker-compose.yml",45,5,0.8431,"containers/dev/compose.yml"
11,"README.md",20,0,0.0000,""
136,"openhands/runtime/impl/kubernetes/README.md",18,5,0.4091,"docker-compose.yml"
129,"poetry.lock",16,1,0.1622,"pyproject.toml"
65,"frontend/src/i18n/translation.json",9,1,0.6667,"frontend/src/i18n/declaration.ts"
128,"openhands/server/routes/manage_conversations.py",8,0,0.0000,""
181,"openhands/server/session/agent_session.py",8,0,0.0000,""
64,"frontend/src/i18n/declaration.ts",7,1,0.6667,"frontend/src/i18n/translation.json"
89,"frontend/src/mocks/handlers.ts",7,0,0.0000,""
337,"openhands/runtime/base.py",7,0,0.0000,""
14,"evaluation/README.md",6,0,0.0000,""
16,"openhands/resolver/README.md",6,0,0.0000,""
328,"containers/app/Dockerfile",6,0,0.0000,""
342,"openhands/runtime/impl/remote/remote_runtime.py",5,0,0.0000,""
402,"openhands/runtime/utils/runtime_build.py",5,0,0.0000,""
1237,"frontend/vite.config.ts",5,0,0.0000,""
7,"CONTRIBUTING.md",4,0,0.0000,""
9,"Development.md",4,0,0.0000,""
226,"openhands/llm/llm.py",4,0,0.0000,""
266,"frontend/src/routes/conversation.tsx",4,0,0.0000,""
396,"frontend/src/components/shared/modals/settings/settings-form.tsx",4,0,0.0000,""
568,"openhands/server/listen.py",4,0,0.0000,""
589,"openhands/server/session/session.py",4,0,0.0000,""
691,"openhands/utils/prompt.py",4,0,0.0000,""
8,"CREDITS.md",3,0,0.0000,""
15,"openhands/README.md",3,0,0.0000,""
180,"openhands/server/services/conversation_service.py",3,0,0.0000,""
249,"frontend/src/hooks/mutation/use-submit-feedback.ts",3,0,0.0000,""
255,"frontend/src/hooks/query/use-conversation-config.ts",3,0,0.0000,""
263,"frontend/src/hooks/query/use-user-conversation.ts",3,0,0.0000,""
277,"openhands/server/listen_socket.py",3,0,0.0000,""
334,"frontend/src/context/ws-client-provider.tsx",3,0,0.0000,""
345,"openhands/server/conversation_manager/standalone_conversation_manager.py",3,0,0.0000,""
414,"frontend/src/services/settings.ts",3,0,0.0000,""
415,"openhands/core/config/llm_config.py",3,0,0.0000,""
421,"tests/runtime/test_ipython.py",3,0,0.0000,""
569,"openhands/server/middleware.py",3,0,0.0000,""
689,"openhands/core/exceptions.py",3,0,0.0000,""
743,"openhands/core/config/utils.py",3,0,0.0000,""
788,"openhands/controller/agent_controller.py",3,0,0.0000,""
1122,"frontend/src/services/actions.ts",3,0,0.0000,""
1137,".gitignore",3,0,0.0000,""
10,"ISSUE_TRIAGE.md",2,0,0.0000,""
12,"enterprise/README.md",2,0,0.0000,""
17,"openhands/runtime/README.md",2,0,0.0000,""
18,"skills/add_agent.md",2,0,0.0000,""
33,"openhands/app_server/sandbox/remote_sandbox_service.py",2,0,0.0000,""
40,"openhands/app_server/app_conversation/app_conversation_models.py",2,0,0.0000,""
41,"openhands/app_server/app_conversation/sql_app_conversation_start_task_service.py",2,0,0.0000,""
63,"frontend/src/hooks/use-conversation-name-context-menu.ts",2,0,0.0000,""
93,"frontend/src/components/features/chat/chat-message.tsx",2,0,0.0000,""
96,"frontend/src/contexts/conversation-websocket-context.tsx",2,0,0.0000,""
125,"enterprise/poetry.lock",2,0,0.0000,""
127,"openhands/app_server/sandbox/sandbox_spec_service.py",2,0,0.0000,""
152,"frontend/src/utils/status.ts",2,0,0.0000,""
155,"openhands/app_server/app_conversation/sql_app_conversation_info_service.py",2,0,0.0000,""
162,"tests/unit/server/data_models/test_conversation.py",2,0,0.0000,""
169,"openhands-cli/uv.lock",2,0,0.0000,""
170,"third_party/runtime/impl/daytona/README.md",2,0,0.0000,""
178,"openhands/core/setup.py",2,0,0.0000,""
184,"openhands/server/user_auth/user_auth.py",2,0,0.0000,""
187,"openhands/storage/secrets/file_secrets_store.py",2,0,0.0000,""
188,"openhands/storage/secrets/secrets_store.py",2,0,0.0000,""
202,"frontend/src/components/features/payment/setup-payment-modal.tsx",2,0,0.0000,""
205,"frontend/src/components/shared/buttons/openhands-logo-button.tsx",2,0,0.0000,""
224,"frontend/src/utils/verified-models.ts",2,0,0.0000,""
239,"frontend/src/api/conversation.utils.ts",2,0,0.0000,""
251,"frontend/src/hooks/mutation/use-upload-files.ts",2,0,0.0000,""
253,"frontend/src/hooks/query/use-active-host.ts",2,0,0.0000,""
262,"frontend/src/hooks/query/use-search-conversations.ts",2,0,0.0000,""
264,"frontend/src/hooks/query/use-vscode-url.ts",2,0,0.0000,""
295,"openhands/runtime/impl/local/local_runtime.py",2,0,0.0000,""
340,"openhands/runtime/impl/docker/docker_runtime.py",2,0,0.0000,""
347,"openhands/server/data_models/conversation_info.py",2,0,0.0000,""
358,"tests/runtime/test_browsing.py",2,0,0.0000,""
397,"frontend/src/routes/llm-settings.tsx",2,0,0.0000,""
404,"frontend/src/components/features/feedback/feedback-form.tsx",2,0,0.0000,""
419,"tests/runtime/test_env_vars.py",2,0,0.0000,""
423,"tests/runtime/test_microagent.py",2,0,0.0000,""
